# SPDX-License-Identifier: CC-BY-4.0
doc_id	title	authors	abstract	fields_of_study	doi_or_url	license
0	Sustainable and Efficient Extraction of Furfural from Bagasse: A Quantitative Analysis and Feasibility Study for Rural Economies	Muhammad Asif; Sana Sultan; Subhan Ishaq	Furfural, a valuable platform chemical produced from lignocellulosic biomass, has a wide range of commercial applications, including biofuels, polymers, and medicines. This study investigated the optimization of furfural extraction using sugarcane bagasse collected from sugar mills in Rahim Yar Khan, Pakistan. The findings showed that furfural yields ranged from 7.5% to 10%, with a particular sample yielding the maximum amount. Economic feasibility was also determined by calculating the costs of raw materials, labor, and equipment. This study suggests that sugarcane bagasse from the region offers a sustainable and cost-effective feedstock for furfural production, contributing to rural economic development while reducing the environmental impact through green chemical techniques.	Analytical Chemistry; Chemical Engineering and Industrial Chemistry; Materials Science; Organometallic Chemistry; Energy; Materials Chemistry; Agriculture and Food Chemistry; Catalysis; Organic Chemistry; Earth, Space, and Environmental Chemistry	https://doi.org/10.26434/chemrxiv-2025-7bwqn	CC BY 4.0
1	Tailorable nanoparticles for magnetic water cleaning of polychlorinated biphenyls (PCBs)	Lukas Müller; Anna Zehetmeier; Anna Höfling; Henrik Gaß; Johannes Voß; Daniel Krappmann; Linda Rockmann; Elias Harrer; Dirk Zahn; Andreas Hirsch; Marcus Halik	Anthropogenic persistent organic pollutants pose a pressing threat to the environment and human health. They can be found in water bodies all around the world at low but hazardous concentrations. Typical representatives of this contaminant class are polychlorinated biphenyls (PCBs). Here, we present nanoparticulate core-shell water cleaning agents, which are able to remove PCBs of various chlorination degree from water. The core consists of superparamagnetic iron oxide nanoparticles (SPIONs) providing large surface area that can be tuned via self-assembled monolayers (SAMs) composed of phosphonic acid derivates. This shell binds the pollutants non-covalently enabling facile magnetic water remediation. By employing positively charged or hydrophobic SAMs different PCBs can be preferentially removed. Furthermore, these orthogonal functionalities can be integrated in one SPION system. By combining charged and hydrophobic phosphonic acid derivates in so-called binary SAMs the removal preference can be convoluted, which works just as well in real river water. The cost-efficient availability of the base materials for these tailorable nanoparticles is complemented with recyclability laying the foundation for a sustainable water cleaning process.	Materials Science; Organic Chemistry; Nanoscience	https://doi.org/10.26434/chemrxiv-2025-v6tn8	CC BY 4.0
2	Tailoring Phosphorene Quantum Dot via Electrochemical Methods for Enhanced Capacity Na-ion Batteries	Bikash Ranjan Isaac; Sankeerth Satish; S. Sreedeep; Sangram Mohapatra; Subbiah Alwarappan; Vijayamohan K. Pillai	The development of advanced energy storage technologies has driven significant interest in two-dimensional (2D) materials, particularly graphene, stanene, phosphorene and their analogues, due to their unique structural and electronic properties, as well as their propensity for doping. In this work, we demonstrate an electrochemical approach for tailoring phosphorene quantum dots (PQDs) specifically optimized for sodium-ion battery (SIB) applications using benchmark cathodes and electrolytes. Sodium-ion batteries, as a promising alternative to lithium-ion systems, benefit from the tunable surface area and conductivity provided by size-optimized PQDs, which enhance ion diffusion kinetics and charge storage capabilities. The size-tuning of PQDs is achieved through a controlled electrochemical exfoliation and passivation process, resulting in quantum dots with improved stability and a higher specific capacity. For example, the PQDs coupled with Prussian white analogue (PW) exhibit superior key performance metrics, showing a high discharge capacity of 250 mAg^-1 and capacity retention of 77% after 250 cycles, positioning them as a viable candidate for next-generation SIBs. This study presents a pathway for scalable production in SIBs using phosphorene-based materials, laying the groundwork for high-efficiency, sustainable energy storage solutions.	Energy; Materials Science	https://doi.org/10.26434/chemrxiv-2025-kj2nm	CC BY 4.0
3	Tetracarboxylic aromatic acid-based self-healing metallosupramolecular flexible nano-scaffold: Exploring rheological features, stimuli-responsiveness and anti-bacterial efficiency	Biswajit Dey; Subhajoy Sadhu; Deblina Saha; Sai Jyoti Behera; Anupam Kundu; Ritu Ranjan Kumar; Suresh Kumar Yatirajula; Jnanendra Rath	Tetracarboxylic acid-directed formation strategy of Zn(II)-metallogel has been achieved through supramolecular interactions among gel-forming Zn(II) acetate dihydrate, pyromellitic acid and N,N'-dimethyl formamide (DMF). Role of pyromellitic acid as low molecular weight gelator in forming stable Zn(II)-metallogel has been established through the work. Mechanical stability of Zn(II)-metallogel has been characterized through several rheological analyses including frequency sweep, strain sweep, time sweep (i.e., thixotropic analysis), and Creep recovery tests. The morphological feature of the xerogel sample of Zn(II)-metallogel gets scrutinized through field emission scanning electron microscopy (FESEM) investigation. The elemental analyses associated to FESEM system has also been performed for getting the role of different metallogel-forming chemical ingredients. The stimuli-responsiveness of the prepared metallogel has been deciphered by applying several influences like mechanical shaking, sonication, heating effect, chemical factors like acid, base, UV-light exposure. The metallogel construction pathway has been explored through the employment of FT-IR and ESI-Mass spectral analyses. The biological effectiveness of the metallogel is also explored. Different kinds of bacteria including Gram +/− ve species such as Bacillus cereus (ATCC 13061), Listeria monocytogenes (MTCC 657), and Staphylococcus aureus (MTCC 96), Salmonella typhimurium (MTCC 98) and Escherichia coli (MTCC 1667) are subjected for exploring the bioactivity of synthesized Zn(II)-metallogel.	Polymer Science; Materials Science; Organometallic Chemistry; Physical Chemistry; Biological and Medicinal Chemistry; Nanoscience	https://doi.org/10.26434/chemrxiv-2025-pqdvc	CC BY 4.0
4	The 1.5 µm Band of Cyanoacetylene as a Spectroscopic Target in the Hunt for Prebiotic Molecules	Thomas Howard; Sanjana Maheshwari; Grace J. Yeh; Shannon E. Ganley; Leah G. Dodson	The search for prebiotic molecules officially entered a new era with the launch of the James Webb Space Telescope. The capabilities of the near-infrared instrumentation on board offer greater sensitivity and resolution than has ever been available in a space-based instrument. With the planned launch of more near-infrared telescopes—such as SPHEREx in 2025—it is essential to have laboratory data for important molecules on hand to guide observations in this spectral region. We present here the first published line list of the prebiotic cyanoacetylene (HC₃N) molecule in the 1.5µm region. Molecules were cooled to 20 K through the use of a cryogenic buffer-gas cooling yielding well-resolved ro-vibrational states of the 2ν₁ band that were probed and assigned using cavity-ringdown spectroscopy. Rotational constants were calculated using PGOPHER and spectral line intensities were measured relative to hydrogen cyanide. We recommend the HC₃N 1.5 µm band as an observational target for transmission spectroscopy at Hycan and Super-Earth exoplanetary bodies.	Physical Chemistry; Analytical Chemistry; Theoretical and Computational Chemistry; Organic Chemistry; Earth, Space, and Environmental Chemistry	https://doi.org/10.26434/chemrxiv-2025-v3blc	CC BY 4.0
5	Towards a Global Model for Diabetic Kidney Disease Screening using ATR-FTIR	Víctor Navarro-Esteve; Ángel Sánchez-Illana; Jose Pórtoles; Maria Marques-Vidas; Josep Ventura-Gayete; Nuria Estañ Capell; Iris Viejo-Boyano; Francisco Valero-Mena; Antonio J. Sanchez-Lopez; Bayden R. Wood; David Pérez-Guaita	Infrared (IR) spectroscopy of urine extracts coupled with Machine Learning (ML) methods has been proposed as a promising technique for Diabetic Kidney Disease (DKD) screening. However, for clinical translation, predictive models based on machine learning techniques necessitate substantial sets of samples for calibration and testing under various experimental parameters and populations, posing a critical barrier to the development of globally deployable tools. Here, we aim to assess the methodology's ability to establish DKD diagnostic models applicable across diverse populations, instruments and experimental conditions worldwide. Two datasets were compared. The Australian set included 155 DKD and 22 control samples from a 24-hour urine collection, with preconcentrated proteins measured on a Bruker spectrometer. The Spanish set, comprising 35 DKD and 26 control spot urine samples, was analyzed using a Perkin-Elmer spectrometer. Different ML methods were developed to identify DKD and microalbuminuria, aiming to compare their performance in terms of generalization and adaptation to different datasets. Models developed using Australian spectra successfully predicted Spanish samples, achieving AUROC values of 0.87 and 0.98 for DKD and microalbuminuria identification, respectively. Both values improved to 0.99 when a global model was calibrated and independently tested with a combined set integrating samples from both countries. Results evidence that the spectral markers found in the IR spectra, based on signals arising from albumin and other glycoproteins, have proven to be robust, minimizing the effects of population and instrument variability. Results exemplify the potential of developing global big-data spectroscopic datasets to facilitate the deployment of IR-based diagnostic methods in real-world settings.	Analytical Chemistry; Biological and Medicinal Chemistry; Chemical Engineering and Industrial Chemistry; Materials Science	https://doi.org/10.26434/chemrxiv-2025-pksq8	CC BY 4.0
6	Towards carbon-free cathodes for fluoride ion batteries: deconvoluting effects of active material and conductive additive on charging and cyclic stability	Tommi Aalto; Roham Talei; Guido Schmitz; Oliver Clemens	In this study, conductive, fluorine and antimony co-doped tin oxide nanoparticles (FATO-NPs) are highlighted as a possible alternative for conductive carbon additives in fluoride ion batteries, successfully circumventing oxidative side reactions. Since good cyclability with high and stable discharge capacities was achieved with both types of conductive additive, it was concluded that conductive carbon is well suitable for high-voltage fluoride ion batteries, contrary to prior assumptions. The utilization of almost completely side-reaction free FATO-NPs as the conductive additive enables the deconvolution of other side reactions in initial cycles.	Materials Science; Energy	https://doi.org/10.26434/chemrxiv-2025-0mhwm	CC BY 4.0
7	Tuning Magnetic Anisotropy and Luminescence Thermometry in a Series of Dysprosium Complexes containing β-diimine Ligand	Sukanya Bagchi; Sakshi Mehta; Sujit Kamilya; Mathieu Rouzières; Radovan Herchel; Mikhail Kiskin; Subrata Ghosh; Abhishake Mondal	Understanding spin dynamics in molecular systems is critical for developing advanced quantum materials, where optimizing structural parameters plays a pivotal role. Although significant progress has been made in studying the spin dynamics of β-diketone-Dysprosium(III) complexes with α-diimine bidentate ligands, the exploration of β-diimine-based ligands to elucidate the structure-property relationship in spin dynamics remains limited. Here, we report three Dysprosium complexes containing β-diimine based bidentate ligands, [Dy(dbm)3(bik-Et)] (1), [Dy(dbm)3(bik-Me)] (2), and [Dy(acac)3(bik-Et)] (3) (dbm = 1,3-diphenyl-1,3-propanedione, acac = acetylacetonate, bik-Et = bis(1-ethyl-1H-imidazol-2-yl)methanone), and bik-Me = bis(1-methyl-1H-imidazol-2-yl)methanone), which were synthesized and characterized by single crystal X-ray diffraction analysis, spectroscopic, magnetic and theoretical investigations. Structural investigations showed a distorted square antiprism geometry in 1 and 3 and a trigonal bipyramidal geometry in 2 in a DyO6N2 environment. Magnetic studies reveal slow magnetic relaxation behaviour under a zero-applied DC field for all three complexes. Theoretical calculations at the DFT and CASSCF level of theory were carried out to find a better correlation between the electronic structure and magnetism of the reported complexes. Moreover, the variable temperature photoluminescence study of the complexes reveals these complexes performed significantly well in the application of luminescent thermometry.	Inorganic Chemistry; Materials Science; Physical Chemistry	https://doi.org/10.26434/chemrxiv-2025-tnhwp	CC BY 4.0
8	Uncovering the Individual Hydrogen Bond Strengths and Cooperativity in Pure (H₂S)ₙ and Mixed (H₂O)ₘ(H₂S)ₙ (m + n = 2 to 8) Clusters	Deepak Patkar	The present investigation deals with the estimation individual hydrogen bond (HB) energy in pure (H₂S)ₙ (n = 3 to 8) and mixed (H₂O)ₘ(H₂S)ₙ (m + n = 2 to 8) clusters. A deeper understanding of individual interactions in these clusters are brought out in terms of energetics. Such a knowledge from the experimental studies is difficult. Therefore, the present investigation is important. The calculated results show that the hydrogen bonding strengths in these clusters range from 0.10 to 11.06 kcal mol⁻¹ at the MP2(full)/aug-cc-pVTZ level. The O-H…O HB being the strongest (0.10 to 11.06 kcal mol⁻¹), followed by O-H…S HB (1.36 to 6.89 kcal/mol), S-H…O HB (1.08 to 6.39 kcal mol⁻¹), and S-H…S HB (1.35 to 4.23 kcal mol⁻¹) being the weakest. The hydrogen bonding energies in dimers follow the same rank ordering, with lower energies due to the loss of cooperativity. Thus, cooperativity contributions in the hydrogen bonding range from 0.83 to 5.96 kcal mol⁻¹. The HB energies in pure (H₂S)ₙ clusters are similar but slightly smaller compared to those in mixed (H₂O)ₘ(H₂S)ₙ (m + n = 2 to 8) clusters. These results provide important insights into the structure and energetics of hydrogen bonding in pure and mixed clusters, and sheds light on the various interactions in chemical and biological systems. Such a profound knowledge of individual energetics is missing from the literature.	Physical Chemistry; Materials Chemistry	https://doi.org/10.26434/chemrxiv-2025-gwdd6	CC BY 4.0
10	Automated Analysis of Accurate Mass Data in Chemistry Research Articles	Goodman et al.	A Python script for the systematic, high-throughput analysis of accurate mass data was developed and tested on over 3,000 Supporting Information (SI) PDFs from Organic Letters. The analysis revealed unexpected errors and provides actionable advice on how to improve data quality. The research focuses on evaluating errors in experimental chemistry papers using accurate mass measurements.	Analytical Chemistry; Organic Chemistry	https://doi.org/10.26434/chemrxiv-2025-gwdd6	CC BY 4.0
